"Rank","Country","Note","Differential"
107,"Fiji","32,69","+10 (117)"
108,"Brazil","32,75","-9 (99)"
109,"Bolivia","32,80","-1 (108)"
110,"Qatar","32,86","+4 (114)"
111,"Panama","32,95","+2 (113)"
112,"Israel","32,97","-20 (92)"
113,"Montenegro","32,97","-6 (107)"
114,"United Arab Emirates","33,49","-2 (112)"
115,"Nigeria","34,11","+11 (126)"
116,"Republic of Macedonia","34,27","-22 (94)"
117,"Venezuela","34,44","0 (117)"
118,"Nepal","34,61","-12 (106)"
119,"Ecuador","34,69","-15 (104)"
120,"Cameroon","34,78","-23 (97)"
121,"Chad","34,87","-18 (103)"
122,"Brunei","35,45","+3 (125)"
123,"Tajikistan","35,71","-1 (122)"
124,"South Sudan","36,20","-13 (111)"
125,"Algeria","36,54","-3 (122)"
126,"Ukraine","36,79","-10 (116)"
127,"Honduras","36,92","+8 (135)"
128,"Afghanistan","37,36","+22 (150)"
129,"Colombia","37,48","+14 (143)"
130,"Angola","37,80","+2 (132)"
131,"Libya","37,86","+23 (154)"
132,"Burundi","38,02","-2 (130)"
133,"Zimbabwe","38,12","-16 (117)"
134,"Jordan","38,47","-6 (128)"
135,"Thailand","38,60","+2 (137)"
136,"Morocco","39,04","+2 (138)"
137,"Ethiopia","39,57","-10 (127)"
138,"Tunisia","39,93","-4 (134)"
139,"Indonesia","41,05","+7 (146)"
140,"India","41,22","-9 (131)"
141,"Oman","41,51","-24 (117)"
142,"DR Congo","41,66","+3 (145)"
143,"Cambodia","41,81","-26 (117)"
144,"Bangladesh","42,01","-15 (129)"
145,"Malaysia","42,73","-23 (122)"
146,"Palestine","43,09","+7 (153)"
147,"Philippines","43,11","-7 (140)"
148,"Russia","43,42","-6 (142)"
149,"Singapore","43,43","-14 (135)"
150,"Iraq","44,67","+2 (152)"
151,"Burma","44,71","+18 (169)"
152,"Gambia","45,09","-11 (141)"
153,"Mexico","45,30","-4 (149)"
154,"Turkey","46,56","-6 (148)"
155,"Swaziland","46,76","-11 (144)"
156,"Azerbaijan","47,73","+6 (162)"
157,"Belarus","48,35","+11 (168)"
158,"Egypt","48,66","+8 (166)"
159,"Pakistan","51,31","-8 (151)"
160,"Kazakhstan","55,08","-6 (154)"
161,"Rwanda","55,46","-5 (156)"
162,"Sri Lanka","56,59","+1 (163)"
163,"Saudi Arabia","56,88","-5 (158)"
164,"Uzbekistan","60,39","-7 (157)"
165,"Bahrain","62,75","+8 (173)"
166,"Equatorial Guinea","67,20","-5 (161)"
167,"Djibouti","67,40","-8 (159)"
168,"Laos","67,99","-3 (165)"
169,"Yemen","69,22","+2 (171)"
170,"Sudan","70,06","0 (170)"
171,"Cuba","71,64","-4 (167)"
172,"Vietnam","71,78","0 (172)"
173,"China","73,07","+1 (174)"
174,"Iran","73,40","+1 (175)"
175,"Somalia","73,59","-11 (164)"
176,"Syria","78,53","0 (176)"
177,"Turkmenistan","79,14","0 (177)"
178,"North Korea","83,90","0 (178)"
179,"Eritrea","84,83","0 (179)"
