"master_short","master_long","iso_3166_1_numeric","iso_3166_1_alpha_3","iso_3166_1","maddison_code","maddison_long","polity_scode","polity_country","empirenation_code","empirenation_country","wgi_country","cpi_country","wpfi_country","oecd_2020","oecd_2000","oecd_1961","continent"
"LCA","Saint Lucia",662,"LCA","Saint Lucia","LCA","Saint Lucia",,,,,,"saint lucia",,,,,"North America"
"VCT","Saint Vincent and the Grenadines",670,"VCT","Saint Vincent and the Grenadines",,,,,,,,"saint vincent and grenadines",,,,,"North America"
"WSM","Samoa",882,"WSM","Samoa",,,,,,,,"samoa","samoa",,,,"Asia"
"STP","Sao Tome and Principe",678,"STP","Sao Tome and Principe","STP","Sao Tome and Principe",,,,,,"sao tome and principe",,,,,"Africa"
"SAU","Saudi Arabia",682,"SAU","Saudi Arabia","SAU","Saudi Arabia","SAU","Saudi Arabia",,,"Saudi Arabia","saudi arabia","saudi arabia",,,,"Asia"
"SEN","Senegal",686,"SEN","Senegal","SEN","Senegal","SEN","Senegal",433,"Senegal","Senegal","senegal","senegal",,,,"Africa"
"SRB","Serbia",688,"SRB","Serbia","SRB","Serbia","SER","Serbia",,,"Serbia","serbia","serbia and montenegro",,,,"Europe"
"FRY","Serbia and Montenegro",891,"SCG","Serbia and Montenegro",,,,,,,,"serbia and montenegro","serbia",,,,"Europe"
"SYC","Seychelles",690,"SYC","Seychelles","SYC","Seychelles",,,,,,"seychelles","seychelles",,,,"Africa"
"SLE","Sierra Leone",694,"SLE","Sierra Leone","SLE","Sierra Leone","SIE","Sierra Leone",451,"Sierra Leone","Sierra Leone","sierra leone","sierra leone",,,,"Africa"
"SGP","Singapore",702,"SGP","Singapore","SGP","Singapore","SIN","Singapore",,,"Singapore","singapore","singapore",,,,"Asia"
"SLB","Solomon Islands",90,"SLB","Solomon Islands",,,"SOL","Solomon Islands",,,,"solomon islands",,,,,"Asia"
"SOM","Somalia",706,"SOM","Somalia",,,"SOM","Somalia",520,"Somalia","Somalia","somalia","somalia",,,,"Africa"
"ZAF","South Africa",710,"ZAF","South Africa","ZAF","South Africa","SAF","South Africa",560,"South Africa","South Africa","south africa","south africa",,,,"Africa"
"SSD","Sudan South",728,"SSD","South Sudan",,,"SSU","South Sudan",,,"South Sudan","south sudan",,,,,"Africa"
"SUN","Soviet Union",810,"SUN","Soviet Union","SUN","Former USSR","USR","USSR",,,,"soviet union",,,,,"Europe"
"LKA","Sri Lanka",144,"LKA","Sri Lanka","LKA","Sri Lanka","SRI","Sri Lanka",780,"Sri Lanka","Sri Lanka","sri lanka","sri lanka",,,,"Asia"
"LKA","Sri Lanka",144,"LKA","Sri Lanka","LKA","Sri Lanka","SRI","Sri Lanka",780,"Sri Lanka","Sri Lanka","sri lanka","sri lanka",,,,"Asia"
"SDN","Sudan",729,"SUD","Sudan","SDN","Sudan (Former)","SUD","Sudan",625,"Sudan","Sudan","sudan",,,,,"Africa"
"NSD","Sudan North",729,,,,,"SDN","Sudan-North",,,,"sudan north",,,,,"Africa"
"SUR","Suriname",740,"SUR","Suriname",,,"SUR","Suriname",115,"Suriname","Suriname","suriname","surinam",,,,"Europe"
"SUR","Suriname",740,"SUR","Suriname",,,"SUR","Suriname",115,"Suriname","Suriname","suriname","suriname",,,,"Europe"
"SWZ","Eswatini",748,"SWZ","Eswatini","SWZ","Swaziland","SWA","Swaziland",572,"Swaziland","Swaziland","swaziland","swaziland",,,,"Africa"
"SYR","Syria",760,"SYR","Syrian Arab Republic","SYR","Syrian Arab Republic","SYR","Syria",652,"Syria","Syria","syria","syria",,,,"Asia"
"SYR","Syria",760,"SYR","Syrian Arab Republic","SYR","Syrian Arab Republic","SYR","Syria",652,"Syria","Syria","syria","syrian arab republic",,,,"Asia"
"TWN","Taiwan",158,"TWN","Taiwan, Province of China","TWN","Taiwan, Province of China","TAW","Taiwan",713,"Taiwan","Taiwan","taiwan","taiwan",,,,"Asia"
"TWN","Taiwan",158,"TWN","Taiwan, Province of China","TWN","Taiwan, Province of China","TAW","Taiwan",713,"Taiwan","Taiwan Province of China","taiwan",,,,,"Asia"
"TWN","Taiwan",158,"TWN","Taiwan, Province of China","TWN","Taiwan, Province of China","TAW","Taiwan",713,"Taiwan","Taiwan, Province of China","taiwan",,,,,"Asia"
"TJK","Tajikistan",762,"TJK","Tajikistan","TJK","Tajikistan","TAJ","Tajikistan",702,"Tajikistan","Tajikistan","tajikistan","tajikistan",,,,"Asia"
"TZA","Tanzania",834,"TZA","Tanzania, United Republic of","TZA","U.R. of Tanzania: Mainland","TAZ","Tanzania",510,"Tanzania","Tanzania","tanzania","tanzania",,,,"Africa"
"TZA","Tanzania",834,"TZA","Tanzania, United Republic of","TZA","U.R. of Tanzania: Mainland","TAZ","Tanzania",510,"Tanzania","Tanzania (United Rep. of)","tanzania","tanzania",,,,"Africa"
"TZA","Tanzania",834,"TZA","Tanzania, United Republic of","TZA","U.R. of Tanzania: Mainland","TAZ","Tanzania",510,"Tanzania","United Republic of Tanzania","tanzania","united republic tanzania",,,,"Africa"
"THA","Thailand",764,"THA","Thailand","THA","Thailand","THI","Thailand",800,"Thailand","Thailand","thailand","thailand",,,,"Asia"
"TLS","Timor-Leste",626,"TLS","Timor-Leste",,,"ETM","Timor Leste",,,,"timor-leste","timor-leste",,,,"Asia"
"TLS","Timor-Leste",626,"TLS","Timor-Leste",,,"ETM","Timor Leste",,,,"timor-leste","east timor",,,,"Asia"
"TGO","Togo",768,"TGO","Togo","TGO","Togo","TOG","Togo",461,"Togo","Togo","togo","togo",,,,"Africa"
"TON","Tonga",776,"TON","Tonga",,,,,,,,"tonga","tonga",,,,"Asia"
"TTO","Trinidad and Tobago",780,"TTO","Trinidad and Tobago","TTO","Trinidad and Tobago","TRI","Trinidad and Tobago",,,"Trinidad and Tobago","trinidad and tobago","trinidad and tobago",,,,"North America"
"TUN","Tunisia",788,"TUN","Tunisia","TUN","Tunisia","TUN","Tunisia",616,"Tunisia","Tunisia","tunisia","tunisia",,,,"Africa"
"TKM","Turkmenistan",795,"TKM","Turkmenistan","TKM","Turkmenistan","TKM","Turkmenistan",701,"Turkmenistan","Turkmenistan","turkmenistan","turkmenistan",,,,"Asia"
"UGA","Uganda",800,"UGA","Uganda","UGA","Uganda","UGA","Uganda",500,"Uganda","Uganda","uganda","uganda",,,,"Africa"
"UKR","Ukraine",804,"UKR","Ukraine","UKR","Ukraine","UKR","Ukraine",369,"Ukraine","Ukraine","ukraine","ukraine",,,,"Europe"
"ARE","United Arab Emirates",784,"ARE","United Arab Emirates","ARE","United Arab Emirates","UAE","UAE",,,"United Arab Emirates","united arab emirates","united arab emirates",,,,"Asia"
"URY","Uruguay",858,"URY","Uruguay","URY","Uruguay","URU","Uruguay",165,"Uruguay","Uruguay","uruguay","uruguay",,,,"South America"
"UZB","Uzbekistan",860,"UZB","Uzbekistan","UZB","Uzbekistan","UZB","Uzbekistan",704,"Uzbekistan","Uzbekistan","uzbekistan","uzbekistan",,,,"Asia"
"VUT","Vanuatu",548,"VUT","Vanuatu",,,,,,,,"vanuatu",,,,,"Asia"
"VEN","Venezuela",862,"VEN","Venezuela (Bolivarian Republic of)","VEN","Venezuela (Bolivarian Republic of)","VEN","Venezuela",101,"Venezuela","Venezuela","venezuela","venezuela",,,,"South America"
"VEN","Venezuela",862,"VEN","Venezuela (Bolivarian Republic of)","VEN","Venezuela (Bolivarian Republic of)","VEN","Venezuela",101,"Venezuela","Venezuela (Bolivarian Republic of)","venezuela","venezuela",,,,"South America"
"VNM","Vietnam",704,"VNM","Viet Nam","VNM","Viet Nam","VIE","Vietnam",816,"Vietnam","Vietnam","vietnam","vietnam",,,,"Asia"
"YEM","Yemen",887,"YEM","Yemen","YEM","Yemen","YEM","Yemen",679,"Yemen","Yemen","yemen","yemen",,,,"Asia"
"YUG","Yugoslavia",890,"YUG","Yugoslavia","YUG","Former Yugoslavia","YGS","Yugoslavia",345,"Yugoslavia",,"yugoslavia","yugoslavia",,,,"Europe"
"YUG","Yugoslavia",890,"YUG","Yugoslavia, Socialist Federal Republic of","YUG","Former Yugoslavia","YUG","Yugoslavia",345,"Yugoslavia",,"yugoslavia","yugoslavia",,,,"Europe"
"ZMB","Zambia",894,"ZMB","Zambia","ZMB","Zambia","ZAM","Zambia",551,"Zambia","Zambia","zambia","zambia",,,,"Africa"
"ZWE","Zimbabwe",716,"ZWE","Zimbabwe","ZWE","Zimbabwe","ZIM","Zimbabwe",552,"Zimbabwe","Zimbabwe","zimbabwe","zimbabwe",,,,"Africa"
"ALA","Aland Islands",248,"ALA","Åland Islands",,,,,,,,,,,,,"Europe"
"ASM","American Samoa",16,"ASM","American Samoa",,,,,,,,,,,,,"Asia"
"AND","Andorra",20,"AND","Andorra",,,,,,,,,"andorra",,,,"Europe"
"AIA","Anguilla",660,"AIA","Anguilla",,,,,,,,,,,,,"North America"
"ATA","Antarctica",10,"ATA","Antarctica",,,,,,,,,,,,,"Antarctica"
"ATG","Antigua and Barbuda",28,"ATG","Antigua and Barbuda",,,,,,,,,"antigua and barbuda",,,,"North America"
"ABW","Aruba",533,"ABW","Aruba",,,,,,,,,,,,,"North America"
"BAD","Baden",,,,,,"BAD","Baden",,,,,,,,,"Europe"
"BAV","Bavaria",,,,,,"BAV","Bavaria",,,,,,,,,"Europe"
"BMU","Bermuda",60,"BMU","Bermuda",,,,,,,,,,,,,"North America"
"BES","Bonaire, Sint Eustatius and Saba",535,"BES","Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,"North America"
"BVT","Bouvet Island",74,"BVT","Bouvet Island",,,,,,,,,,,,,"North America"
"IOT","United Kingdom Indian Ocean Territory",86,"IOT","British Indian Ocean Territory",,,,,,,,,,,,,"Asia"
"CYM","Cayman Islands",136,"CYM","Cayman Islands",,,,,,,,,,,,,"North America"
"CXR","Christmas Island",162,"CXR","Christmas Island",,,,,,,,,,,,,"Asia"
"COK","Cook Islands",184,"COK","Cook Islands",,,,,,,,,,,,,"Asia"
"CUW","Curacao",531,"CUW","Curaçao",,,,,,,,,,,,,"North America"
"CYP","Cyprus South",196,"CYP","Cyprus","CYP","Cyprus","CYP","Cyprus",352,"Cyprus","Cyprus",,"cyprus",,,,"Asia"
"FLK","Falkland Islands",238,"FLK","Falkland Islands (Malvinas)",,,,,,,,,,,,,"South America"
"FRO","Faroe Islands",234,"FRO","Faroe Islands",,,,,,,,,,,,,"Europe"
"GUF","French Guiana",254,"GUF","French Guiana",,,,,,,,,,,,,"South America"
"PYF","French Polynesia",258,"PYF","French Polynesia",,,,,,,,,,,,,"Asia"
"ATF","French Southern Territories",260,"ATF","French Southern Territories",,,,,,,,,,,,,"Africa"
"GCF","German Confederation",,,,,,,,,,,,,,,,"Europe"
"DDR","Germany East",278,"DDR","German Democratic Republic",,,"GDR","Germany East",,,,,,,,,"Europe"
"BRD","Germany West",280,"DEU","Germany, Federal Republic of",,,"GFR","Germany West",,,,,,,,,"Europe"
"GCL","Gran Colombia",,,,,,"GCL","Gran Colombia",,,,,,,,,"North America"
"GIB","Gibraltar",292,"GIB","Gibraltar",,,,,,,,,,,,,"Europe"
"GRL","Greenland",304,"GRL","Greenland",,,,,,,,,,,,,"North America"
"GLP","Guadeloupe",312,"GLP","Guadeloupe",,,,,,,,,,,,,"North America"
"GUM","Guam",316,"GUM","Guam",,,,,,,,,,,,,"Asia"
"GGY","Guernsey",831,"GGY","Guernsey",,,,,,,,,,,,,"Europe"
"HMD","Heard Island and McDonald Islands",334,"HMD","Heard Island and McDonald Islands",,,,,,,,,,,,,"Asia"
"VAT","Holy See",336,"VAT","Holy See",,,,,,,,,,,,,"Europe"
"IMN","Isle of Man",833,"IMN","Isle of Man",,,,,,,,,,,,,"Europe"
"JEY","Jersey",832,"JEY","Jersey",,,,,,,,,,,,,"Europe"
"KRE","Korea",,,,,,"KOR","Korea",,,,,,,,,"Asia"
"LIE","Liechtenstein",438,"LIE","Liechtenstein",,,,,,,,,"liechtenstein",,,,"Europe"
"MHL","Marshall Islands",584,"MHL","Marshall Islands",,,,,,,,,,,,,"Asia"
"MTQ","Martinique",474,"MTQ","Martinique",,,,,,,,,,,,,"North America"
"MYT","Mayotte",175,"MYT","Mayotte",,,,,,,,,,,,,"Africa"
"MOD","Modena",,,,,,"MOD","Modena",,,,,,,,,"Europe"
"FSM","Micronesia",583,"FSM","Micronesia (Federated States of)",,,,,,,,,,,,,"Asia"
"MCO","Monaco",492,"MCO","Monaco",,,,,,,,,,,,,"Europe"
"MSR","Montserrat",500,"MSR","Montserrat",,,,,,,,,,,,,"North America"
"NAG","Nagorno-Karabakh",,,,,,,,,,"Nagorno-Karabakh Region",,,,,,"Asia"
"NRU","Nauru",520,"NRU","Nauru",,,,,,,,,,,,,"Asia"
"NCL","New Caledonia",540,"NCL","New Caledonia",,,,,,,,,,,,,"Asia"
"NIU","Niue",570,"NIU","Niue",,,,,,,,,,,,,"Asia"
"NFK","Norfolk Island",574,"NFK","Norfolk Island",,,,,,,,,,,,,"Asia"
"MNP","Northern Mariana Islands",580,"MNP","Northern Mariana Islands",,,,,,,,,,,,,"Asia"
"OFS","Orange Free State",,,,,,"OFS","Orange Free State",,,,,,,,,"Africa"
"PLW","Palau",585,"PLW","Palau",,,,,,,,,,,,,"Asia"
"PAP","Papal States",,,,,,"PAP","Papal States",,,,,,,,,"Europe"
"PMA","Parma",,,,,,"PMA","Parma",,,,,,,,,"Europe"
"PCN","Pitcairn",612,"PCN","Pitcairn",,,,,,,,,,,,,"Asia"
"REU","Reunion",638,"REU","Réunion",,,,,,,,,,,,,"Africa"
"SAR","Sardinia",,,,,,"SAR","Sardinia",,,,,,,,,"Europe"
"SAX","Saxony",,,,,,"SAX","Saxony",,,,,,,,,"Europe"
"BLM","Saint Barthelemy",652,"BLM","Saint Barthélemy",,,,,,,,,,,,,"Africa"
"SHN","Saint Helena, Ascension and Tristan da Cunha",654,"SHN","Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,"Africa"
"KNA","Saint Kitts and Nevis",659,"KNA","Saint Kitts and Nevis",,,,,,,,,,,,,"North America"
"MAF","French Saint Martin",663,"MAF","Saint Martin (French part)",,,,,,,,,,,,,"North America"
"SPM","Saint Pierre and Miquelon",666,"SPM","Saint Pierre and Miquelon",,,,,,,,,,,,,"North America"
"SMR","San Marino",674,"SMR","San Marino",,,,,,,,,,,,,"Europe"
"SXM","Dutch Sint Maarten",534,"SXM","Sint Maarten (Dutch part)",,,,,,,,,,,,,"North America"
"SML","Somaliland",,,,,,,,,,"Somaliland",,,,,,"Africa"
"SML","Somaliland",,,,,,,,,,"Somaliland (Region)",,,,,,"Africa"
"SGS","South Georgia and the South Sandwich Islands",239,"SGS","South Georgia and the South Sandwich Islands",,,,,,,,,,,,,"South America"
"SJM","Svalbard and Jan Mayen",744,"SJM","Svalbard and Jan Mayen",,,,,,,,,,,,,"Europe"
"TKL","Tokelau",772,"TKL","Tokelau",,,,,,,,,,,,,"Asia"
"TCA","Turks and Caicos Islands",796,"TCA","Turks and Caicos Islands",,,,,,,,,,,,,"North America"
"TUS","Tuscany",,,,,,"TUS","Tuscany",,,,,,,,,"Europe"
"SIC","Two Sicilies",,,,,,"SIC","Two Sicilies",,,,,,,,,"Europe"
"TUV","Tuvalu",798,"TUV","Tuvalu",,,,,,,,,,,,,"Asia"
"UMI","United States Minor Outlying Islands",581,"UMI","United States Minor Outlying Islands",,,,,,,,,,,,,"Asia"
"DRV","Vietnam North",,,,,,"DRV","Vietnam North",,,,,,,,,"Asia"
"RVN","Vietnam South",,,,,,"RVN","Vietnam South",,,,,,,,,"Asia"
"VGB","United Kingdom Virgin Islands",92,"VGB","Virgin Islands (British)",,,,,,,,,,,,,"North America"
"VIR","United States Virgin Islands",850,"VIR","Virgin Islands (U.S.)",,,,,,,,,,,,,"North America"
"WLF","Wallis and Futuna",876,"WLF","Wallis and Futuna",,,,,,,,,,,,,"Asia"
"ESH","Western Sahara",732,"ESH","Western Sahara",,,,,,,,,"morocco / western sahara",,,,"Africa"
"WRT","Wuerttemburg",,,,,,"WRT","Wuerttemburg",,,,,,,,,"Europe"
"NYM","Yemen North",,,,,,"YAR","Yemen North",,,,,,,,,"Asia"
"SYM","Yemen South",,,,,,"YPR","Yemen South",,,,,,,,,"Asia"
